terminologyId,feature,name,termType
A305122,position,Deep,pt
A305123,position,Caudal,pt
A305124,position,Peripheral,pt
A305125,position,Juxta-posed,pt
A305126,position,Superficial,pt
A305127,position,Preaxial,pt
A305128,position,Vertical,pt
A305129,position,Efferent,pt
A305130,position,Anterolateral,pt
A305131,position,Longitudinal,pt
A305132,position,Proximal,pt
A305133,position,Apical,pt
A305134,position,Distal,pt
A305135,position,Lateral,pt
A305136,position,Afferent,pt
A305137,position,Basal,pt
A305138,position,Postaxial,pt
A305139,position,Segmental,pt
A305140,position,Transverse,pt
A305141,position,Contiguous,pt
A305142,position,Extracellular,pt
A305143,position,Common,pt
A305144,position,Intracellular,pt
A305145,position,Posterolateral,pt
A305146,position,Long axis,pt
A305147,position,Short axis,pt
A305148,position,Off axis,pt
A305149,position,Mid-longitudinal,pt
A305150,position,Parasagittal,pt
A305151,position,Marginal,pt
A305152,position,Vertical long axis,pt
A305153,position,Horizontal long axis,pt
A305154,position,Anterior,pt
A305155,position,Posterior,pt
A305156,position,Dorsal,pt
A305157,position,Medial,pt
A305158,position,Mid,pt
A305159,position,Mid-zone,pt
A305160,position,Septal,pt
A305161,position,Internal,pt
A305162,position,Median,pt
A305163,position,Anterior dorsal,pt
A305164,position,Bicoronal,pt
A305165,position,External,pt
A305166,position,Inferior,pt
A305167,position,Lower,pt
A305168,position,Lower anterior,pt
A305169,position,Mediolateral,pt
A305170,position,Mural,pt
A305171,position,Posterior dorsal,pt
A305172,position,Upper,pt
A305173,position,Upper anterior,pt
A305174,position,Exteriorized,pt
A305175,position,Foraminal,pt
A305176,position,Separate,pt
A305177,position,Ostium,pt
A305178,position,Posterior pole,pt
A305179,position,Superior,pt
A305180,position,Orthotopic,pt
A305181,position,Heterotopic,pt
A305182,position,Ectopic,pt
A305183,position,Low - site descriptor,pt
A305184,position,High - site descriptor,pt
A305185,position,Bottom,pt
A305186,position,Top,pt
A305187,position,Incisal,pt
A305188,position,Occlusal,pt
A305189,position,Mesial,pt
A305190,position,Dorsoventral,pt
A305191,position,Dorsolateral,pt
A305192,position,Ventrolateral,pt
