abbreviation	expansion
AAA	Abdominal aortic aneurysm
AAS	Aarskog-Scott syndrome
ABCD	Albinism, black lock, cell migration
ACC	Agenesis of the corpus callosum
Acl	Anterior cruciate ligament
ACS	Acute coronary syndrome
ACTH	Adrenocorticotropic hormone deficiency
AD	Alzheimer's Disease OR Attachment
ADD	Attention deficit disorder
ADD-RT	Attention deficit disorder – residual type
ADEM	Acute disseminated encephalomyelitis
ADHD	Attention deficit hyperactivity disorder
AF	Atrial fibrillation
AGS	Aicardi-Goutieres syndrome
AHC	Alternating hemiplegia of childhood
AIDS	Acquired immune deficiency syndrome
AIP	Acute intermittent porphyria
ALA DD	Doss porphyria
ALI	Acute lung injury
ALL	Acute lymphoblastic lymphoma
ALS	Amyotrophic lateral sclerosis
AMA	Advanced maternal age
AMD	Age-related macular degeneration
Aml	Acute myeloid leukemia
AML	Acute myeloid leukemia
AOS	Apraxia of speech
APA	Aldosterone-producing adenoma
APS	Antiphospholipid syndrome
AR	allergic rhinitis
ARBD	Alcohol-related birth defects
ARD	Adult Refsum disease
ARDS	Acute respiratory distress syndrome
ARND	Alcohol-related neurodevelopmental disorder
AS	Ankylosing spondylitis OR Asperger syndrome
ASCUS	Atypical squamous cells of undetermined significance
ASD	Atrial septal defect
ASDs	Autism spectrum disorders
A-T	Ataxia-telangiectasia
AV	Atrioventricular
AVMs	Arteriovenous malformations
BBS	Bashful bladder syndrome
BD	Binswanger's disease
BEB	Benign essential blepharospasm
BEH	Behaviorally/emotionally handicapped
BH	Behaviorally handicapped
BMD	Becker's muscular dystrophy
BPD	Borderline personality disorder
BPH	benign prostatic hyperplasia
BPH	Benign prostatic hyperplasia
BS	Bloom's syndrome
BSE	Bovine spongiform encephalopathy
BSS	Brown–Sequard syndrome
BV	Bacterial vaginosis
C. difficile	Clostridium difficile
CA	Cancer
CACH	Central nervous system hypomyelination
CAD	Coronary artery disease
CADASIL	Cerebral autosomal dominant arteriopathy with sub-cortical infarcts and leukoencephalopathy
CAPD	Central auditory processing disorder
CCD	Considerable conduct disorder
CCHF	Crimean-Congo haemorrhagic fever
CCHS	Congenital central hypoventilation syndrome
CCM	Cerebral cavernous malformation
CDG	Congenital disorder of glycosylation
CDGS	Carbohydrate deficient glycoprotein syndrome
CEP	Congenital erythropoietic porphyria
CESD	Cholesteryl ester storage disease
CF	Cystic fibrosis
CFIDS	Chronic fatigue immune dysfunction syndrome
CFS	Chronic fatigue syndrome
CGBD	Corticobasal ganglionic degeneration
CH	Cluster headache
CHD	Coronary heart disease OR Congenital heart disease OR  Congenital hip dysplasia
CHF	Congestive heart failure
CIDP	Chronic inflammatory demyelinating polyneuropathy
CIPA	Congenital insensitivity to pain with anhidrosis
CJD	Creutzfeldt–Jakob disease
CKD	Chronic kidney disease
CMs	Chiari malformations
CMT	Charcot–Marie–Tooth
COFS	Cerebro-oculo-facio-skeletal syndrome
