terminologyId,feature,name,termType
A300001,cause,Plasmodium falciparum,pt
A300002,cause,Plasmodium,pt
A300003,cause,Mycobacterium leprae,pt
A300004,cause,Pyogenic bacterium,pt
A300005,cause,Bacteria,pt
A300006,cause,Virus,pt
A300007,cause,Increase in pressure,pt
A300008,cause,Acanthamoeba,pt
A300009,cause,Mycobacterium tuberculosis complex,pt
A300010,cause,Drug or medicament,pt
A300011,cause,Human papillomavirus vaccine,pt
A300012,cause,Diphtheria vaccine,pt
A300013,cause,Tetanus vaccine,pt
A300014,cause,Acellular pertussis vaccine,pt
A300015,cause,Meningococcus vaccine,pt
A300016,cause,Hepatitis B virus vaccine,pt
A300017,cause,Rotavirus vaccine,pt
A300018,cause,Catha edulis,pt
A300019,cause,Psychoactive substance,pt
A300020,cause,Antimalarial agent,pt
A300021,cause,Anticonvulsant,pt
A300022,cause,Talc,pt
A300023,cause,Ingestible alcohol,pt
A300024,cause,Opiate agonist,pt
A300025,cause,Human herpes simplex virus,pt
A300026,cause,Haemophilus influenzae type b vaccine,pt
A300027,cause,Ionizing radiation,pt
A300028,cause,Cholinergic receptor stimulating agent,pt
A300029,cause,Influenza A virus,pt
A300030,cause,Influenza A virus subtype H1N1,pt
A300031,cause,Amphetamine and derivatives,pt
A300032,cause,Hepatitis C virus,pt
A300033,cause,Group B streptococcus,pt
A300034,cause,Fungus,pt
A300035,cause,Carbamazepine,pt
A300036,cause,Meningococcal conjugate vaccine,pt
A300037,cause,Citrus fruit,pt
A300038,cause,Meningococcus group B vaccine,pt
A300039,cause,Varicella-zoster vaccine,pt
A300040,cause,Japanese encephalitis virus vaccine,pt
A300041,cause,Varicella virus live vaccine,pt
A300042,cause,Drug administration device,pt
A300043,cause,Cerumen,pt
A300044,cause,Candida,pt
A300045,cause,Human herpesvirus 3,pt
A300046,cause,Streptococcus,pt
A300047,cause,Human papillomavirus,pt
A300048,cause,Mycobacterium kansasii,pt
A300049,cause,Mechanical tension,pt
A300050,cause,Toxoplasma gondii,pt
A300051,cause,Chlamydia trachomatis,pt
A300052,cause,Human cytomegalovirus 5,pt
A300053,cause,Fungi,pt
A300054,cause,Multidrug resistant Acinetobacter baumannii,pt
A300055,cause,Neisseria gonorrhoeae,pt
A300056,cause,Treponema pallidum,pt
A300057,cause,Family Filoviridae,pt
A300058,cause,Friction,pt
A300059,cause,Oxytocin,pt
A300060,cause,Smallpox vaccine,pt
A300061,cause,Silver AND/OR silver compound,pt
A300062,cause,Dicentra,pt
A300063,cause,Primula obconica,pt
A300064,cause,Substance,pt
A300065,cause,Ross River virus,pt
A300066,cause,Cardiovascular agent,pt
A300067,cause,Schistosoma mansoni,pt
A300068,cause,Schistosoma,pt
A300069,cause,Cestrum diurnum,pt
A300070,cause,Creutzfeldt-Jakob agent,pt
A300071,cause,Silica dust,pt
A300072,cause,Chlorate salt,pt
A300073,cause,Copper,pt
A300074,cause,Mastigophora,pt
A300075,cause,Trypanosoma cruzi,pt
A300076,cause,Genus Nairovirus,pt
A300077,cause,Opisthorchis,pt
A300078,cause,Trematode,pt
A300079,cause,Babesia,pt
A300080,cause,Family Babesiidae,pt
A300081,cause,Hepatitis B virus,pt
A300082,cause,Ultraviolet radiation,pt
A300083,cause,Strongyloides,pt
A300084,cause,Stone dust,pt
A300085,cause,Cladosporium carrionii,pt
A300086,cause,Kanamycin,pt
A300087,cause,Hallucinogen - non-pharmaceutical,pt
A300088,cause,Solanum nigrum,pt
A300089,cause,Fish,pt
A300090,cause,Family Herpesviridae,pt
A300091,cause,Nitrofuran derivative,pt
A300092,cause,Macracanthorhynchus hirudinaceus,pt
A300093,cause,Phylum Acanthocephala,pt
A300094,cause,Primaquine,pt
A300095,cause,Glucocorticoid,pt
A300096,cause,Mevinphos,pt
A300097,cause,Light,pt
A300098,cause,Crenosoma,pt
A300099,cause,Gasterophilus haemorrhoidalis,pt
A300100,cause,Metaproterenol,pt
A300101,cause,Anesthetic,pt
A300102,cause,Rubella virus,pt
A300103,cause,Stilezia globipunctata,pt
A300104,cause,Family Thysanosomidae,pt
A300105,cause,Amsinckia,pt
A300106,cause,Psorergates ovis,pt
A300107,cause,Encephalartos,pt
A300108,cause,Oxymetholone,pt
A300109,cause,Nocardia,pt
A300110,cause,Carbon disulfide,pt
A300111,cause,Cysticercus pisiformis,pt
A300112,cause,Ethopropazine,pt
A300113,cause,Contracaecum,pt
A300114,cause,Halogen,pt
A300115,cause,Selenium,pt
A300116,cause,Iron dextran,pt
A300117,cause,Genus Moniliformis,pt
A300118,cause,Polyester fumes,pt
A300119,cause,Ascaris,pt
A300120,cause,Nemata,pt
A300121,cause,Hydrogen sulfide,pt
A300122,cause,Trichophyton,pt
A300123,cause,Salmonella,pt
A300124,cause,Athanasia trifurcata,pt
A300125,cause,Streptococcus pneumoniae,pt
A300126,cause,Phosmet,pt
A300127,cause,Prosthenorchis elegans,pt
A300128,cause,Magnesium sulfate,pt
A300129,cause,Butane,pt
A300130,cause,Schistosoma incognitum,pt
A300131,cause,Bacteroides,pt
A300132,cause,Solanum malacoxylon,pt
A300133,cause,Nitroglycerin,pt
A300134,cause,Staphylococcus,pt
A300135,cause,Human adenovirus,pt
A300136,cause,Aspergillus,pt
A300137,cause,Deuteromycete,pt
A300138,cause,Strongyloides westeri,pt
A300139,cause,Homeria,pt
A300140,cause,Toad toxin,pt
A300141,cause,Arenavirus,pt
A300142,cause,Cadmium,pt
A300143,cause,Cercopithecid herpesvirus I,pt
A300144,cause,Toxigenic Corynebacterium,pt
A300145,cause,Oesophagostomum dentatum,pt
A300146,cause,Superfamily Strongyloidea,pt
A300147,cause,Glycine max,pt
A300148,cause,Sanguinicola,pt
A300149,cause,Family Sanguinicolidae,pt
A300150,cause,Demeton,pt
A300151,cause,Coenurus serialis,pt
A300152,cause,Osteospermum,pt
A300153,cause,Trichuris,pt
A300154,cause,Superfamily Trichinelloidea,pt
A300155,cause,Genus Haematopinus,pt
A300156,cause,Zika virus,pt
A300157,cause,Warm antibody,pt
A300158,cause,Muellerius,pt
A300159,cause,Superfamily Protostrongyloidea,pt
A300160,cause,Alphavirus,pt
A300161,cause,Le Dantec virus,pt
A300162,cause,Family Rhabdoviridae,pt
A300163,cause,Myrothecium verrucaria,pt
A300164,cause,Mycotoxin,pt
A300165,cause,Peganum harmala,pt
A300166,cause,Neisseria meningitidis,pt
A300167,cause,Genus Oestrus,pt
A300168,cause,Listeria monocytogenes,pt
A300169,cause,Borrelia,pt
A300170,cause,Lithium AND/OR lithium compound,pt
A300171,cause,Setaria,pt
A300172,cause,Superfamily Filarioidea,pt
A300173,cause,Claviceps purpurea,pt
A300174,cause,Ergot alkaloid,pt
A300175,cause,Rocio virus,pt
A300176,cause,Flavivirus,pt
A300177,cause,Leishmania,pt
A300178,cause,Probenecid,pt
A300179,cause,Senecio jacobea,pt
A300180,cause,Hymenoxys richardsonii,pt
A300181,cause,Festuca arundinacea,pt
A300182,cause,Burkholderia mallei,pt
A300183,cause,Treponema carateum,pt
A300184,cause,Griseofulvin,pt
A300185,cause,Paraldehyde,pt
A300186,cause,Orunga virus,pt
A300187,cause,Freezing temperature,pt
A300188,cause,Cephalosporin -class of antibiotic-,pt
A300189,cause,Salmonella Typhi,pt
A300190,cause,Nosema bombycis,pt
A300191,cause,Phylum Microsporidia,pt
A300192,cause,Antiparkinsonian agent,pt
A300193,cause,Aspergillus niger,pt
A300194,cause,Phencyclidine,pt
A300195,cause,Entamoeba coli,pt
A300196,cause,Basidiobolus,pt
A300197,cause,Family Simuliidae,pt
A300198,cause,Fluoroacetate salt,pt
A300199,cause,Butyl alcohol,pt
A300200,cause,Electricity,pt
A300201,cause,Volatile solvent-based substance of abuse - non-pharmaceutical,pt
A300202,cause,Amniotic fluid,pt
A300203,cause,Probstmayria,pt
A300204,cause,Superfamily Oxyuroidea,pt
A300205,cause,Fire,pt
A300206,cause,Camallanus,pt
A300207,cause,Gigantobilharzia,pt
A300208,cause,Family Schistosomatidae,pt
A300209,cause,Actinomyces,pt
A300210,cause,Sporothrix schenkii,pt
A300211,cause,Sodium fluoroacetamide,pt
A300212,cause,Nalorphine,pt
A300213,cause,Hertia pallens,pt
A300214,cause,Eupatorium rugosum,pt
A300215,cause,Theobromine,pt
A300216,cause,Family Polypodiaceae - fern,pt
A300217,cause,Colchicum autumnale,pt
A300218,cause,Dermatophyte,pt
A300219,cause,Trichophyton verrucosum,pt
A300220,cause,Manzanilla virus,pt
A300221,cause,Family Bunyaviridae,pt
A300222,cause,Genus Trypanosoma,pt
A300223,cause,Clostridium,pt
A300224,cause,Nitric acid,pt
A300225,cause,Anticoagulant,pt
A300226,cause,Antibody,pt
A300227,cause,Genus Polyomavirus,pt
A300228,cause,Family Polyomaviridae,pt
A300229,cause,Chloramphenicol (class of antibiotic),pt
A300230,cause,Beta-aminoproprionitrile,pt
A300231,cause,Lathyrus,pt
A300232,cause,Leishmania tropica,pt
A300233,cause,Moraxella lacunata,pt
A300234,cause,Potassium iodide,pt
