Chronic sore throat	Chronic pharyngitis
Persistent pneumothorax	Chronic pneumothorax
Partial arterial retinal occlusion	Partial retinal artery occlusion
Partial occlusion of retinal artery	Partial retinal artery occlusion
Hordeolum externum	External hordeolum
Stye	External hordeolum
Boil of eyelid	External hordeolum
Sty	External hordeolum
Furuncle of eyelid	External hordeolum
Hordeolum, external	External hordeolum
Closed fracture clavicle, lateral end	Closed fracture of acromial end of clavicle
Intracranial swelling	Cerebral edema
Superficial phlebitis	Superficial thrombophlebitis
Congenital deformity of hip	Congenital deformity of hip joint
AOM - Acute otitis media	Acute otitis media
Closed fracture of the radial shaft	Closed fracture of shaft of radius
Open fracture of astragalus	Open fracture of talus
Partial thickness burn of thumb	Second degree burn of thumb
Lower urinary tract infection	Lower urinary tract infectious disease
UTI - Lower urinary tract infection	Lower urinary tract infectious disease
Acute low salt syndrome	Acute hyponatremia
Schroeder's syndrome	Acute hyponatremia
Phencyclidine-induced mood disorder	PCP mood disorder
Phencyclidine (PCP) mood disorder	PCP mood disorder
Phencyclidine mood disorder	PCP mood disorder
PCP induced mood disorder	PCP mood disorder
Acute iridocyclitis	Acute anterior uveitis
AAU - acute anterior uveitis	Acute anterior uveitis
Habitual dislocation of joint	Recurrent dislocation of joint
Capillary pneumonia	Acute bronchiolitis
Acute capillary bronchiolitis	Acute bronchiolitis
Chronic pericementitis	Chronic periodontitis
Chronic periodontal disease	Chronic periodontitis
Obstetrical laceration, second degree	Second degree perineal laceration
Laceration of inner AND/OR muscular layers of perineal structures	Second degree perineal laceration
Burn to trunk - blister	Second degree burn of trunk
Partial thickness burn of trunk	Second degree burn of trunk
Blister of trunk, second degree burn	Second degree burn of trunk
Open fracture shaft of femur	Open fracture of shaft of femur
Periodic ophthalmia	Recurrent iridocyclitis
Open fracture of articular process of humerus	Open fracture of condyle of humerus
Phencyclidine abuse	PCP abuse
Phencyclidine (PCP) abuse	PCP abuse
CG - Chronic gastritis	Chronic gastritis
Hypoplastic breast	Congenital hypoplasia of breast
Hypoplasia of breast	Congenital hypoplasia of breast
Acute abdominal pain syndrome	Acute abdomen
Surgical abdomen	Acute abdomen
Palatal nystagmus	Palatal myoclonus
Full thickness burn of hand	Third degree burn of hand
Congenital narrowed trachea	Congenital stenosis of trachea
Congenital tracheal stenosis	Congenital stenosis of trachea
Obstetrical laceration, third degree	Third degree perineal laceration
Laceration of tissues between vaginal AND/OR perineal muscular layers and rectal mucosa	Third degree perineal laceration
Open traumatic dislocation elbow joint	Open dislocation of elbow
Congenital laryngeal stenosis	Congenital stenosis of larynx
Ascending aortic hypoplasia	Congenital hypoplasia of ascending aorta
Closed fracture multiple ribs	Closed fracture of multiple ribs
Werlhof's disease	Chronic idiopathic thrombocytopenic purpura
Purpura hemorrhagica	Chronic idiopathic thrombocytopenic purpura
Chronic thrombocytopenic purpura	Chronic idiopathic thrombocytopenic purpura
Autoimmune thrombocytopenic purpura	Chronic idiopathic thrombocytopenic purpura
Congenital urethral stenosis	Congenital stricture of urethra
Congenital urethral stricture	Congenital stricture of urethra
Conjunctival concretions	Conjunctival concretion
Open dislocation of shoulder	Open dislocation of glenohumeral joint
Open dislocation of humerus	Open dislocation of glenohumeral joint
Open traumatic dislocation of shoulder	Open dislocation of glenohumeral joint
Tracheal diverticulum	Tracheal diverticulosis
Congenital stricture of small intestine	Congenital stenosis of small intestine
Open fracture larynx	Open fracture of larynx
ARF - Acute renal failure	Acute renal failure syndrome
Acute renal failure	Acute renal failure syndrome
Ethanol abuse	Alcohol abuse
AA - Alcohol abuse	Alcohol abuse
Hemorrhage of esophagus	Esophageal bleeding
Esophageal hemorrhage	Esophageal bleeding
Acute inflammation of nasal sinus	Acute sinusitis
Acute inflammation of sinus	Acute sinusitis
Acute infection of sinus	Acute sinusitis
Cerebellar hypoplasia	Congenital cerebellar hypoplasia
Congenital hypoplasia of cerebellum	Congenital cerebellar hypoplasia
Congenital small cerebellum	Congenital cerebellar hypoplasia
Hypoplasia of the cerebellum	Congenital cerebellar hypoplasia
Primary hydronephrosis	Congenital hydronephrosis
Congenital stenosis of duodenum	Congenital duodenal stenosis
CDH - Congenital diaphragmatic hernia	Congenital diaphragmatic hernia
Infective tonsillitis	Acute tonsillitis
Open fracture of arm	Open fracture of upper limb
Congenital aortic stenosis	Congenital stenosis of aortic valve
Corneal vascularization	Corneal neovascularization
Traumatic open dislocation of interphalangeal joint of hand	Open dislocation of interphalangeal joint of hand
Acute exudative glomerulonephritis	Acute glomerulonephritis
AGN - Acute glomerulonephritis	Acute glomerulonephritis
Chronic skin ulcer	Chronic ulcer of skin
Cerebral arterial occlusion	Cerebral artery occlusion
Occlusion of cerebral artery	Cerebral artery occlusion
CGN - Chronic glomerulonephritis	Chronic glomerulonephritis
Acute pericementitis	Acute periodontitis
Aggressive periodontitis	Acute periodontitis
Open fracture of finger	Open fracture of phalanx of finger
Umbilical adenoma	Umbilical polyp
Partial thickness burn of scalp	Second degree burn of scalp
Open fracture shaft of tibia	Open fracture of shaft of tibia
Angina pectoris with documented spasm	Coronary artery spasm
Coronary spasm	Coronary artery spasm
Open fracture of humerus, shaft	Open fracture of shaft of humerus
External hemorrhoid	External hemorrhoids
Closed fracture of finger	Closed fracture of phalanx of finger
Renal tubular acidosis, type 2	Proximal renal tubular acidosis
Bicarbonate reabsorption defect	Proximal renal tubular acidosis
Renal tubular acidosis, rate type	Proximal renal tubular acidosis
Type II renal tubular acidosis	Proximal renal tubular acidosis
RTA Type II - Type II renal tubular acidosis	Proximal renal tubular acidosis
Effects of radiation	Radiation injury
Injury due to exposure to ionizing radiation	Radiation injury
Injury caused by exposure to ionizing radiation	Radiation injury
Closed fracture of thigh	Closed fracture of femur
Closed fracture of upper leg	Closed fracture of femur
Congenital fissure of the sternum	Congenital fissure of sternum
Medication abuse	Drug abuse
