lowWord	fullWord
25_hydroxy	25 hydroxy
25-oh	25 hydroxy
25-hydroxy	25 hydroxy
25oh	25 hydroxy
tibc	total iron binding capacity
scn	screening
scr	screening
non-hdlc	non high density lipoprotein
non-hdl	non high density lipoprotein
spec	specific
spec.	specific
spec	specimen
spec	spectrum
leukocytes	leukocyte
leuk	leukocyte
leuko	leukocyte
leukest	leukocyte esterase
q-t	qt
neut	neutrophil
neutrophil%auto	neutrophil
neut%	neutrophil
neutrophils	neutrophil
cmv	cytomegalovirus
dihy	dihydroxy
neg	negative
hispanic-american	hispanic american
med	medium
cult	culture
path	pathology
hdl-cholesterol	high density lipoprotein
hdl	high density lipoprotein
hdlc	high density lipoprotein
wr-crp	wide range c-reactive protein
nonafricn	non african
non-african	non african
non-afr	non african
non-afric	non african
nonafrican	non african
eosinophil%auto	eosinophil
eosin	eosinophil
%eosinophils	eosinophil
eosinophils	eosinophil
eosin%	eosinophil
eos	eosinophil
lymp	lymphocyte
lymphs	lymphocyte
lymph#	lymphocyte
lymph%	lymphocyte
%lymphocytes	lymphocyte
lymph	lymphocyte
lymph%auto	lymphocyte
lymphocytes	lymphocyte
lym	lymphocyte
ly	lymphocyte
calc	calculated
cal	calculated
mg	milligram
mm	millimeter
ml	milliliter
ms	mass spectrometry
creatinine-random	creatinine
creatinine-based	creatinine
creat	creatinine
cr	creatinine
ena	extractable nuclear antigen
ssa	extractable nuclear antigen
ss-a	extractable nuclear antigen
ssb	extractable nuclear antigen
ss-b	extractable nuclear antigen
toxin	toxigenic
di-oh	di hydroxy
oh2	di hydroxy
enz	enzyme
enzym	enzyme
cto2	concentration total oxygen
sgpt	serum glutamic-pyruvic transaminase
vfr	volume fraction
fam	family
vari	varicella
donor-	donor
imm	immature
pf4-interpretation	pf4 interpretation
tco2	total carbon dioxide
nitrite-ua	nitrite
nitrites	nitrite
distrib	distribution
distribtion	distribution
dist	distribution
rt	real time
rv	right ventricular
ra	right atrial
got	glutamic oxaloacetic transaminase
rh	rhesus
ntd	neural tube defects
autoabs	autoantibodies
autoab	autoantibodies
ata	antithyroglobulin antibody
chlam	chlamydia
c	chlamydia
rand	random
testost	testosterone
testos	testosterone
testost.	testosterone
tot	total
t	total
t.	total
eqn	equation
corpus	corpuscular
corp	corpuscular
int'l	international
sjogren's	sjogrens
non-aa	non african american
non-african-american	non african american
non-black	non african american
nonafram	non african american
lbs	pounds
pneumo	pneumonia
hgba1c%	hemoglobin a1c
hba1c	hemoglobin a1c
hgba1c	hemoglobin a1c
a1c	hemoglobin a1c
mins	minutes
estrogens	estrogen
chem	chemistry
glom	glomerular
glob	globulin
g	globulin
mammo	mammogram
metab	metabolic
afr-am	african american
black	african american
africanamerican	african american
african-american	african american
aa	african american
dob	date of birth
anti-hav	anti hepatitis a virus
lpf	low power field
concentrn	concentration
conc	concentration
conc.	concentration
mcnc	mass concentration
plts	platelets
dl	deciliter
dx	diagnosis
diag	diagnosis
diabet	diabetes
num	number
antiglob	antiglobulin
co2	carbon dioxide
dlco	diffusing capacity lung carbon monoxide
wb	western blot
ckmb	creatine kinase mb
ck-mb	creatine kinase mb
17-oh	17 hydroxy
mdrd	modification of diet in renal disease
lot#	lot
25-hydroxyvitamin	25 hydroxy vitamin
diff	differential
diff	difficile
anc	absolute neutrophil count
anc-neutrophil	absolute neutrophil count
egfr2	estimated glomerular filtration rate
egfr	estimated glomerular filtration rate
pco2iv	partial pressure of carbon dioxide iv
mch	mean corpuscular hemoglobin
mcv	mean corpuscular volume
n	neisseria
poc-glucose	point care glucose
african amiercan	african american
am	american
amer	american
iu	international unit
ia	immunoassay
id	identification
id	immunodiffusion
req'd	required
antign	antigen
agn	antigen
ag	antigen
ag.	antigen
verification-manual	verification
quant	quantitative
quantitive	quantitative
qnt	quantitative
qn	quantitative
ccnc	catalytic concentration
ldl+vldl	low density lipoprotein and very low density lipoprotein
glu	glucose
glucose-ua	glucose
epi	epithelial
epithieals	epithelial
epithel	epithelial
epis	epithelial
epith	epithelial
thb	total hemoglobin
ibci	iron binding capacity
ibc	iron binding capacity
1hr	1 hour
mid	mid-range
rnp	ribonucleoprotein
bnp	b-type natriuretic peptide
