terminologyId,feature,name,termType
A000001,component,Indirect antiglobulin test,pt
A000002,component,Direct antiglobulin test,pt
A000003,component,Rh,pt
A000004,component,Appearance,pt
A000005,component,Cancer Ag 125,pt
A000006,component,Color,pt
A000007,component,Bacteria identified,pt
A000008,component,Microscopic observation,pt
A000009,component,Endomysium Ab,pt
A000010,component,Cotinine,pt
A000011,component,Polychromasia,pt
A000012,component,Stomatocytes,pt
A000013,component,Target cells,pt
A000014,component,Albumin given,pt
A000015,component,Glucose,pt
A000016,component,Alpha-1-Fetoprotein Ag,pt
A000017,component,Anion gap 3,pt
A000018,component,Digoxin,pt
A000019,component,Leukocytes,pt
A000020,component,Liquefaction,pt
A000021,component,Round cells,pt
A000022,component,Sexual abstinence duration,pt
A000023,component,Ova & parasites identified,pt
A000024,component,Trichomonas sp identified,pt
A000025,component,Globulin,pt
A000026,component,Troponin I,pt
A000027,component,Isospora belli,pt
A000028,component,Prostate specific Ag,pt
A000029,component,Hepatitis B virus surface Ab,pt
A000030,component,Lead,pt
A000031,component,6-Monoacetylmorphine,pt
A000032,component,Oxycodone,pt
A000033,component,Tricyclic antidepressants,pt
A000034,component,Borrelia burgdorferi Ab,pt
A000035,component,Hepatitis C virus RNA,pt
A000036,component,DNA double strand Ab,pt
A000037,component,Acetylcholine receptor binding Ab,pt
A000038,component,C reactive protein,pt
A000039,component,Cortisol,pt
A000040,component,Cryofibrinogen,pt
A000041,component,Epinephrine,pt
A000042,component,Immunoglobulin light chains,pt
A000043,component,Reducing substances,pt
A000044,component,Urea nitrogen,pt
A000045,component,Smith extractable nuclear Ab,pt
A000046,component,Platelet morphology finding,pt
A000047,component,Hematocrit,pt
A000048,component,Leukocyte morphology finding,pt
A000049,component,Macadamia spp Ab,pt
A000050,component,Fentanyl,pt
A000051,component,Tacrolimus,pt
A000052,component,Hepatitis B virus DNA,pt
A000053,component,Streptococcus agalactiae Ag,pt
A000054,component,Elliptocytes,pt
A000055,component,Tubular cells,pt
A000056,component,Epithelial cells,pt
A000057,component,Urine sediment comments,pt
A000058,component,Auer rods,pt
A000059,component,Cells counted,pt
A000060,component,Study report,pt
A000061,component,Base excess,pt
A000062,component,Oxygen,pt
A000063,component,Carbon dioxide,pt
A000064,component,pH,pt
A000065,component,Jo-1 extractable nuclear Ab,pt
A000066,component,Rheumatoid factor,pt
A000067,component,Thyrotropin,pt
A000068,component,Delivery date,pt
A000069,component,Fetuses,pt
A000070,component,Gestational age,pt
A000071,component,Creatinine,pt
A000072,component,Creatinine renal clearance/1.73 sq M,pt
A000073,component,Cryoglobulin,pt
A000074,component,Fatty acids,pt
A000075,component,Measles virus Ag,pt
A000076,component,Drugs identified,pt
A000077,component,Hydrocodone,pt
A000078,component,Oxazepam,pt
A000079,component,Urate crystals,pt
A000080,component,Major crossmatch,pt
A000081,component,Fat,pt
A000082,component,Hemoglobin pattern,pt
A000083,component,Protein fractions,pt
A000084,component,HIV 1 p65 Ab,pt
A000085,component,HIV 1 p18 Ab,pt
A000086,component,D Ag,pt
A000087,component,Nuclear Ab pattern,pt
A000088,component,Complement total hemolytic CH100,pt
A000089,component,Interpretation,pt
A000090,component,Ulmus americana Ab,pt
A000091,component,Corynebacterium diphtheriae Ab,pt
A000092,component,Staphylococcus aureus,pt
A000093,component,Parainfluenza virus Ag,pt
A000094,component,Collection time,pt
A000095,component,Collection duration,pt
A000096,component,Creatinine dialysis fluid clearance,pt
A000097,component,Cholesterol,pt
A000098,component,HIV 1 Ab band pattern,pt
A000099,component,Erythrocytes,pt
A000100,component,Xanthochromia,pt
A000101,component,Glutamate decarboxylase 65 Ab,pt
A000102,component,Spermatozoa,pt
A000103,component,Fructose,pt
A000104,component,Coccidioides immitis Ab,pt
A000105,component,Hepatitis A virus Ab,pt
A000106,component,Hepatitis B virus core Ab,pt
A000107,component,Hepatitis B virus little e Ab,pt
A000108,component,Hepatitis B virus little e Ag,pt
A000109,component,Hepatitis C virus Ab,pt
A000110,component,Methylmalonate,pt
A000111,component,Homocysteine,pt
A000112,component,Sex hormone binding globulin,pt
A000113,component,Creatine kinase,pt
A000114,component,Epstein Barr virus early Ab,pt
A000115,component,IgG synthesis rate,pt
A000116,component,Pyruvate,pt
A000117,component,Cells,pt
A000118,component,Reticulocytes,pt
A000119,component,DNAse B Ab,pt
A000120,component,Phosphatidylserine Ab,pt
A000121,component,Mitochondria M2 Ab,pt
A000122,component,Smooth muscle Ab,pt
A000123,component,Neutrophil cytoplasmic Ab,pt
A000124,component,Carnitine,pt
A000125,component,Benzoylecgonine,pt
A000126,component,Benzodiazepines,pt
A000127,component,Lithium,pt
A000128,component,Prealbumin,pt
A000129,component,Chlamydia trachomatis,pt
A000130,component,ABO group,pt
A000131,component,Blood group antibodies identified,pt
A000132,component,Bicarbonate,pt
A000133,component,Fluid,pt
A000134,component,Methotrexate,pt
A000135,component,Oxalate,pt
A000136,component,Pathologist review,pt
A000137,component,Phenylalanine,pt
A000138,component,Albumin,pt
A000139,component,Erythropoietin,pt
A000140,component,Follitropin,pt
A000141,component,Fructosamine,pt
A000142,component,Anisocytosis,pt
A000143,component,Hypochromia,pt
A000144,component,Lupus anticoagulant neutralization,pt
A000145,component,Lymphocytes,pt
A000146,component,Macrocytes,pt
A000147,component,Microcytes,pt
A000148,component,Thyroglobulin Ab,pt
A000149,component,Triacylglycerol lipase,pt
A000150,component,(Gadus morhua+Mytilus edulis+Pandalus borealis+Salmo salar+Thunnus albacares) Ab,pt
A000151,component,Betula verrucosa Ab,pt
A000152,component,Coagulation dilute Russell viper venom induced actual/Normal,pt
A000153,component,Mycoplasma hominis,pt
A000154,component,Varicella zoster virus Ab,pt
A000155,component,Alternaria alternata Ab,pt
A000156,component,Glycine max Ab,pt
A000157,component,Ruditapes spp Ab,pt
A000158,component,Liquidambar styraciflua Ab,pt
A000159,component,Arachis hypogaea Ab,pt
A000160,component,Juglans spp Ab,pt
A000161,component,Triticum aestivum Ab,pt
A000162,component,Babesia microti Ab,pt
A000163,component,Helicobacter pylori Ab,pt
A000164,component,Herpes simplex virus 1 DNA,pt
A000165,component,Herpes simplex virus 2 DNA,pt
A000166,component,Beta 2 glycoprotein 1 Ab,pt
A000167,component,Nordiazepam,pt
A000168,component,Codeine,pt
A000169,component,Morphine,pt
A000170,component,Ammonia,pt
A000171,component,17-Hydroxyprogesterone,pt
A000172,component,5-Hydroxyindoleacetate,pt
A000173,component,HTLV I+II Ab,pt
A000174,component,Adenosine triphosphate,pt
A000175,component,Mitochondria Ab,pt
A000176,component,Oxymorphone,pt
A000177,component,Alanine aminotransferase,pt
A000178,component,Specimen volume,pt
A000179,component,Aldolase,pt
A000180,component,Aldosterone,pt
A000181,component,Topiramate,pt
A000182,component,Alkaline phosphatase,pt
A000183,component,Helicobacter pylori Ag,pt
A000184,component,Sjogrens syndrome-B extractable nuclear Ab,pt
A000185,component,Sjogrens syndrome-A extractable nuclear Ab,pt
A000186,component,Cancer Ag 27-29,pt
A000187,component,Herpes simplex virus 1 Ab,pt
A000188,component,Herpes simplex virus 2 Ab,pt
A000189,component,Ureaplasma urealyticum,pt
A000190,component,Calcium,pt
A000191,component,Fungus identified,pt
A000192,component,Amylase,pt
A000193,component,Osmolality,pt
A000194,component,Alpha 1 antitrypsin,pt
A000195,component,Cannabinoids,pt
A000196,component,Pelger Huet cells,pt
A000197,component,Platelet satellitism,pt
A000198,component,Morphology,pt
A000199,component,Neutrophils,pt
A000200,component,Alpha-1-Fetoprotein,pt
A000201,component,Opiates,pt
A000202,component,Androstanolone,pt
A000203,component,Streptococcus pyogenes Ag,pt
A000204,component,Yeast,pt
A000205,component,Broad casts,pt
A000206,component,Androstenedione,pt
A000207,component,Angiotensin converting enzyme,pt
A000208,component,Anion gap 4,pt
A000209,component,Apolipoprotein A-I,pt
A000210,component,Apolipoprotein B-100,pt
A000211,component,Autopsy report,pt
A000212,component,Apolipoprotein B,pt
A000213,component,Amikacin,pt
A000214,component,Amoxicillin+Clavulanate,pt
A000215,component,Ampicillin,pt
A000216,component,Ampicillin+Sulbactam,pt
A000217,component,Aztreonam,pt
A000218,component,Cefazolin,pt
A000219,component,Cefepime,pt
A000220,component,Cefotaxime,pt
A000221,component,Cefotetan,pt
A000222,component,Ceftazidime,pt
A000223,component,Ceftriaxone,pt
A000224,component,Chloramphenicol,pt
A000225,component,Ciprofloxacin,pt
A000226,component,Clindamycin,pt
A000227,component,Erythromycin,pt
A000228,component,Gentamicin,pt
A000229,component,Imipenem,pt
A000230,component,Meropenem,pt
A000231,component,Nitrofurantoin,pt
A000232,component,Oxacillin,pt
A000233,component,Penicillin,pt
A000234,component,Penicillin G,pt
A000235,component,Piperacillin,pt
A000236,component,Piperacillin+Tazobactam,pt
A000237,component,Rifampin,pt
A000238,component,Streptomycin,pt
A000239,component,Tetracycline,pt
A000240,component,Tobramycin,pt
A000241,component,Trimethoprim+Sulfamethoxazole,pt
A000242,component,Vancomycin,pt
A000243,component,Ascorbate,pt
A000244,component,Metanephrine,pt
