terminologyId,feature,name,termType
A200001,unit,MG/ML,pt
A200002,unit,MG/MG,pt
A200003,unit,MG,pt
A200004,unit,MG/ACTUAT,pt
A200005,unit,UNT/ML,pt
A200006,unit,UNT,pt
A200007,unit,MG/HR,pt
A200008,unit,MEQ,pt
A200009,unit,MMOL,pt
A200010,unit,%,pt
A200011,unit,MEQ/ML,pt
A200012,unit,ML/ML,pt
A200013,unit,AU/ML,pt
A200014,unit,BAU/ML,pt
A200015,unit,CELLS/ML,pt
A200016,unit,MCI/ML,pt
A200017,unit,MMOL/ML,pt
A200018,unit,PNU/ML,pt
A200019,unit,MG/SQCM,pt
A200020,unit,UNT/ACTUAT,pt
A200021,unit,MEQ/MG,pt
A200022,unit,ML,pt
A200023,unit,UNT/MG,pt
A200024,unit,CELLS,pt
A200025,unit,"Amb a 1-U",pt
A200026,unit,BAU,pt
A200027,unit,IR,pt
A200028,brand_name,Parlodel,pt
A200029,brand_name,Topicycline,pt
A200030,brand_name,Adipex-P,pt
A200031,brand_name,Alfenta,pt
A200032,brand_name,"Amines Brand",pt
A200033,brand_name,Anafranil,pt
A200034,brand_name,Synflex,pt
A200035,brand_name,Anaspaz,pt
A200036,brand_name,ATGAM,pt
A200037,brand_name,Biloptin,pt
A200038,brand_name,Blocadren,pt
A200039,brand_name,Bonine,pt
A200040,brand_name,Bromates,pt
A200041,brand_name,Bronkometer,pt
A200042,brand_name,Subutex,pt
A200043,brand_name,Carbocaine,pt
A200044,brand_name,Cefotan,pt
A200045,brand_name,Cepacol,pt
A200046,brand_name,Piriton,pt
A200047,brand_name,Cordilox,pt
A200048,brand_name,Cyclogyl,pt
A200049,brand_name,Cytomel,pt
A200050,brand_name,Dantrium,pt
A200051,brand_name,Delsym,pt
A200052,brand_name,Dexol,pt
A200053,brand_name,Pontocaine,pt
A200054,brand_name,Didrex,pt
A200055,brand_name,Dimetane,pt
A200056,brand_name,Solprin,pt
A200057,brand_name,Dobutrex,pt
A200058,brand_name,Duromine,pt
A200059,brand_name,Duvadilan,pt
A200060,brand_name,Dynapen,pt
A200061,brand_name,Librium,pt
A200062,brand_name,Emcyt,pt
A200063,brand_name,Estracyt,pt
A200064,brand_name,Sublimaze,pt
A200065,brand_name,Fluanxol,pt
A200066,brand_name,Genticin,pt
A200067,brand_name,Wytensin,pt
A200068,brand_name,Hibitane,pt
A200069,brand_name,"Humulin S",pt
A200070,brand_name,Hyskon,pt
A200071,brand_name,Isoptocarpine,pt
A200072,brand_name,Kantrex,pt
A200073,brand_name,Kemadrin,pt
A200074,brand_name,Ketalar,pt
