terminologyId,feature,name,termType
A400001,procedure,Piercing,pt
A400002,procedure,Transection,pt
A400003,procedure,Manipulation,pt
A400004,procedure,Shunt,pt
A400005,procedure,Dissolution,pt
A400006,procedure,Hyfrecation,pt
A400007,procedure,Reconstruction,pt
A400008,procedure,Introduction,pt
A400009,procedure,Size reduction,pt
A400010,procedure,Cryosurgery,pt
A400011,procedure,Diathermy incision,pt
A400012,procedure,Electrodestruction,pt
A400013,procedure,Grafting,pt
A400014,procedure,Devascularization,pt
A400015,procedure,Ultrasound destruction,pt
A400016,procedure,Replacement,pt
A400017,procedure,Plastic operation,pt
A400018,procedure,Resurfacing,pt
A400019,procedure,Alloplastic grafting,pt
A400020,procedure,Incision,pt
A400021,procedure,Exploratory incision,pt
A400022,procedure,Drilling,pt
A400023,procedure,Dissection,pt
A400024,procedure,Bisection,pt
A400025,procedure,Bifurcation,pt
A400026,procedure,Division,pt
A400027,procedure,Excision,pt
A400028,procedure,Osteoclasis,pt
A400029,procedure,Removal,pt
A400030,procedure,Transfixion,pt
A400031,procedure,Evisceration,pt
A400032,procedure,Enucleation,pt
A400033,procedure,Trephination,pt
A400034,procedure,Excision debridement,pt
A400035,procedure,Incisional biopsy,pt
A400036,procedure,Saucerization,pt
A400037,procedure,Trimming,pt
A400038,procedure,Shaving,pt
A400039,procedure,Scraping,pt
A400040,procedure,Filleting,pt
A400041,procedure,Extirpation,pt
A400042,procedure,Bypass,pt
A400043,procedure,Reimplantation,pt
A400044,procedure,Harvesting,pt
A400045,procedure,Biopsy,pt
A400046,procedure,Exenteration,pt
A400047,procedure,Resection-recession,pt
A400048,procedure,Flap reconstruction,pt
A400049,procedure,Radial incision,pt
A400050,procedure,Application of caustics,pt
A400051,procedure,Z-plasty,pt
A400052,procedure,Lengthening,pt
A400053,procedure,Augmentation,pt
A400054,procedure,Gluing,pt
A400055,procedure,Advancement,pt
A400056,procedure,Interrupted mass closure,pt
A400057,procedure,Suspension and fixation,pt
A400058,procedure,Marsupialization,pt
A400059,procedure,Reinforcement,pt
A400060,procedure,Closure,pt
A400061,procedure,Layered closure,pt
A400062,procedure,Oversewing,pt
A400063,procedure,Closure by buckling,pt
A400064,procedure,Chemical destruction,pt
A400065,procedure,Cerclage,pt
A400066,procedure,Ligation,pt
A400067,procedure,Cryopexy,pt
